pd,pdfs
/gpfs/data/chopralab/arda/knee/multicoil/file1000061.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002049.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000041.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000591.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002276.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000777.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001528.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000285.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002526.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000344.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001585.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000858.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001148.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001825.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001079.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001875.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002534.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001858.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000116.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000632.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001999.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000115.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001436.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000653.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001362.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000509.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001067.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001956.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001671.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001106.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001692.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002352.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002532.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001048.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001695.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002076.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000605.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000691.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001666.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001773.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000801.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002545.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002485.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001855.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002517.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001340.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001353.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002549.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001906.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000969.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002130.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002041.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000182.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001968.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000336.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000211.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000342.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002169.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000315.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002499.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000300.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002211.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000374.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001765.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000537.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001533.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001092.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000138.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000290.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000338.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001288.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000408.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002014.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001109.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000031.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000201.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000410.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001358.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001767.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000760.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000089.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000326.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002238.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001094.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000988.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000973.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002273.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000481.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001908.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000752.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002022.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001979.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000010.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000535.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000587.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002521.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000191.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002127.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000301.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001455.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002303.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000173.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001737.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001141.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000817.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002155.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000073.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001499.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001513.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000250.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002397.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000592.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001320.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001948.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002113.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000738.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002561.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001475.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000558.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000100.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001170.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001090.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002062.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002171.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001348.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002055.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000021.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000560.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000172.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002054.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000627.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000161.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001867.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002086.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000111.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001189.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001061.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000233.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002201.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001228.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000806.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001130.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000371.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000159.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001096.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001997.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001944.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002335.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001276.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000424.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001750.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000057.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001732.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002541.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000833.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000615.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002383.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001176.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001350.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001791.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000582.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001491.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002024.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002379.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001139.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002544.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002537.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000317.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002269.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001220.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000715.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001099.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000401.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001582.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002274.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002515.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001506.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001955.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001564.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001024.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001568.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002343.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002099.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002056.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002388.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000204.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002396.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002461.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002374.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001778.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002416.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000695.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002187.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001862.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000084.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002074.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001244.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001154.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001605.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000927.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001613.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002087.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002425.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001891.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000635.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002389.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001381.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001119.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000490.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000123.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001360.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002478.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002304.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000221.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000277.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001429.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001116.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000883.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002252.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001440.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001219.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000480.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001444.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000942.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002189.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001432.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002500.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001919.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000925.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001480.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001309.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000848.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000693.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001945.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001561.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001114.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001198.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000205.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001707.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000517.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000626.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001623.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001941.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000376.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000289.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000585.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000069.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000510.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000045.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001616.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000477.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000280.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000389.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001643.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000970.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002139.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002241.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000237.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000617.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000060.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001184.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001655.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000842.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000114.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1002229.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000959.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000821.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001588.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000851.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1001014.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001650.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002002.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001992.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002456.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001206.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000983.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1000153.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1000292.h5
/gpfs/data/chopralab/arda/knee/multicoil/file1001580.h5,/gpfs/data/chopralab/arda/knee/multicoil/file1002307.h5
